māma,妈妈,mother
Mǎ,马,horse
māo,猫,cat
yú,鱼,fish
jiě,姐,sister
ěr,耳,ear
bǐ,笔,pen
dǎo,岛,island
Huā,花,flower
xié,鞋,shoes
Xuě,雪,Snow
Kāfēi,咖啡,coffee
kělè,可乐,[Coke or Pepsi] cola
kě,可,can; may
lè,乐,happy
Kǎoyā,烤鸭,Roast Duck
huǒguō,火锅,hot pot
huǒ,火,fire-heat
guō,锅,pot-pan-wok
dì tú,地图,map
dì,地,land
tú,图,picture
Fēijī,飞机,airplane
Fēi,飞,fly
jī,机,machine
Máobǐ,毛笔,writing brush
Máo,毛,hair
ěr jī,耳机,headphones
nǐ haǒ,你好,Hello
nǐ,你,you
haǒ,好,Okay
xiǎojiě,小姐,small sister
xiǎo,小,small-little
kǒuyǔ,口语,spoken language
kǒu,口,mouth
yǔ,语,language
yǔfǎ,语法,grammar
fǎ,法,law-method
yǒuhǎo,友好,friendly
yǒu,友,friend
yǔsǎn,雨伞,umbrella
yǔ,雨,rain
Shǒubiǎo,手表,Wrist Watch
Shǒu,手,hand
biǎo,表,watc
