妈妈,mother (māma)
马,horse (Mǎ)
猫,cat (māo)
鱼,fish (yú)
姐,sister (jiě)
耳,ear (ěr)
笔,pen (bǐ)
岛,island (dǎo)
花,flower (Huā)
鞋,shoes (xié)
雪,Snow (Xuě)
咖啡,coffee (Kāfēi)
可乐,[Coke or Pepsi] cola (kělè)
可,can; may (kě)
乐,happy (lè)
烤鸭,Roast Duck (Kǎoyā)
火锅,hot pot (huǒguō)
火,fire-heat (huǒ)
锅,pot-pan-wok (guō)
地图,map (dì tú)
地,land (dì)
图,picture (tú)
飞机,airplane (Fēijī)
飞,fly (Fēi)
机,machine (jī)
毛笔,writing brush (Máobǐ)
毛,hair (Máo)
耳机,headphones (ěr jī)
你好,Hello (nǐ haǒ)
你,you (nǐ)
好,Okay (haǒ)
小姐,small sister (xiǎojiě)
小,small-little (xiǎo)
口语,spoken language (kǒuyǔ)
口,mouth (kǒu)
语,language (yǔ)
语法,grammar (yǔfǎ)
法,law-method (fǎ)
友好,friendly (yǒuhǎo)
友,friend (yǒu)
雨伞,umbrella (yǔsǎn)
雨,rain (yǔ)
手表,Wrist Watch (Shǒubiǎo)
手,hand (Shǒu)
表,watc (biǎo)
