谢谢你,Thanks you (Xiè xiè nǐ)
谢,Thank (Xiè)
中,middle (Zhōng)
爬山,Climb Mountain (Pá shān)
爬,Climb (Pá)
山,Mountain (Shān)
熊猫,Panda (Xióngmāo)
熊,Bear (xiong)
云,cloud (Yún)
人,people (Rén)
船,boat (Chuán)
床,bed (chuang)
吃,eat (Chī)
热,it's hot (Rè)
冰箱,Fridge (Bīngxiāng)
冰,ice (Bīng)
箱,Box (xiāng)
鸡蛋,egg (Jīdàn)
司机,driver (Sījī)
司,manage (Sī)
足球,football (Zúqiú)
足,foot (Zú)
球,ball (qiú)
机场,Airport (Jīchǎng)
场,field (chǎng)
爷爷,grandfather (Yéyé)
奶奶,Grandmother (Nǎinai)
爸爸,Father (Bàba)
桌子,table (Zhuōzi)
房子,House (Fángzi)
椅子,Chair (Yǐzi)
柜子,cabinet (Guìzi)
他们,them (Tāmen)
人们,people (Rénmen)
弟弟,younger brother (Dìdì)
衣服,clothing (Yīfú)
儿子,son (Érzi)
认识,know (Rènshí)
认,recognize (Rèn)
识,knowledge (shí)
朋友,frien (Péngyǒu)
