下午,afternoon (Xià wǔ)
下,Down (Xià)
午,Noon (wǔ)
第一,First (Dì yī)
第,The first (Dì)
一,One (yī)
也许,Maybe (Yěxǔ)
也,Also (Yě)
许,Allow (xǔ)
跑步,Run (Pǎobù)
跑,Run (Pǎo)
步,Step (bù)
回答,answer (Huídá)
回,back (Huí)
跳舞,Dance (Tiàowǔ)
跳,Jump (Tià)
一起,Together (Yīqǐ)
起,Rise (qǐ)
快乐,Happiness (Kuàilè)
快,quick (Kuài)
其他,other (Qítā)
其,That (Qí)
礼物,Gift (Lǐwù)
礼,present (Lǐ)
物,thing (wù)
机会,Opportunity (Jīhuì)
会,Can - able to (huì)
离开,Leave (Líkāi)
复习,Review (Fùxí)
复,complex (Fù)
习,habit (xí)
地铁,subway (Dìtiě)
地,earth - Ground - soil (Dì)
铁,iron (tiě)
爱好,Hobby (Àihào)
爱,Love (Ài)
好,Okay (hǎo)
街道,received (Jiēdào)
接,catch (Jiē)
到,arrive (dào)
不客气,You are welcome (Bù kèqì)
再见,goodbye (Zàijiàn)
再,Again (Zài)
见,See (jiàn)
打开书,open the book (Dǎkāi shū)
打开,Open (Dǎkāi)
书,book (shū)
请大声读,please read aloud (Qǐng dàshēng dú)
请,Please (Qǐng)
大声,loud (dàshēng)
大,Big (dà)
声,Voice (shēng)
读,read (dú)
再读一遍,read it again (Zài dú yībiàn)
再,Again (Zài)
读,read (dú)
一遍,once (yībiàn)
一,one (yī)
遍,all over (biàn)
一起读,read together (Yīqǐ dú)
有问题吗?,Any questions (Yǒu wèntí ma?)
有,have (Yǒu)
问题,question (wèntí)
谢谢你 不客气,Thanks you You are welcom (Xiè xiè nǐ Bù kèqì)
